order_id,customer_id,order_timestamp,order_total
2001,1,2025-01-05T10:30:00,950.99
2002,1,2025-01-15T16:00:00,120.0
2003,2,2025-01-06T09:15:00,38.7
2004,2,2025-01-08T08:00:00,249.0
2005,3,2025-01-06T11:45:00,149.0
2006,4,2025-01-07T14:25:00,139.99
2007,5,2025-01-08T16:20:00,35.0
2008,6,2025-01-09T10:05:00,399.0
2009,7,2025-01-09T12:30:00,199.0
2010,8,2025-01-10T09:50:00,31.6
2011,9,2025-01-10T15:10:00,499.98
2012,10,2025-01-11T17:40:00,29.97
2013,1,2025-02-01T11:00:00,300.0
2014,3,2025-02-02T10:00:00,500.0
